"key","de"
"index.tit1_0"," #{layout.BREAK}#{layout.BREAK} Demonstration der Zofar-Navigation "
"index.body.dis1.text1_0"," "
"page1.t1_0","#{layout.H4_START} Soziodemografische Merkmale #{layout.H4_END} "
"page1.intro1_0","#{layout.BREAK} Kommen wir nun zu einer Reihe von soziodemografischen Fragen. #{layout.BREAK}#{layout.BREAK}#{layout.BREAK} "
"page1.b.oq1.q_0","Wie alt sind Sie? "
"page1.b.oq1.ins_0","Bitte tragen Sie Ihr derzeitiges Alter in Jahren in das untenstehende Feld ein. #{layout.BREAK} #{layout.BREAK} "
"page1.b.oq1.l1_0","Ich bin "
"page1.b.oq1.l2_0"," Jahre alt."
"page1.b.sw.t_0"," #{layout.BREAK}#{layout.WARNING_START}Für die Auswertung der Daten ist es unerlässlich, dass Sie diese Frage beantworten. Anderenfalls kann die Befragung nicht fortgesetzt werden.#{layout.WARNING_END} "
"page1.b.sw.bb.mc.rd.ao1.label","Ich möchte die Befragung nicht fortsetzen."
"page1.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: harte Antwortforcierung #{layout.BREAK} #{layout.SOURCECODE_END} "
"page2.body.SingleChoice1.question1_0"," Welches Geschlecht haben Sie? "
"page2.body.SingleChoice1.instruction1_0"," Bitte wählen Sie die auf Sie zutreffende Antwortoption. "
"page2.body.SingleChoice1.rdc.ao1.label","weiblich"
"page2.body.SingleChoice1.rdc.ao2.label","männlich"
"page2.body.SingleChoice1.rdc.ao3.label","Ich kann mich keinem der beiden Geschlechter zuordnen."
"page2.body.sw.t_0"," #{layout.BREAK}#{layout.WARNING_START} Für die Auswertung der Daten ist es wichtig, dass Sie diese Frage beantworten. #{layout.WARNING_END} "
"page2.body.sw.bb.mc.rd.ao1.label","Ich möchte diese Frage überspringen."
"page2.body.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: weiche Antwortforcierung #{layout.BREAK} #{layout.SOURCECODE_END} "
"page3.body.matrix.q_0","Wie wichtig sind die folgenden Kenntnisse und Fähigkeiten für Ihre derzeitige (bzw., wenn Sie nicht berufstätg sind, voraussichtliche) berufliche Tätigkeit (linke Spalte)? In welchem Maße verfügten Sie bei Ihrem Abschluss des Studiums über diese Kenntnisse und Fähigkeiten (rechte Spalte)? #{layout.BREAK}#{layout.BREAK}#{layout.BREAK} "
"page3.body.matrix.rd.ls_0","Wichtigkeit für die berufliche Tätigkeit "
"page3.body.matrix.rd.rs_0","bei Studenabschluss vorhanden "
"page3.body.matrix.rd.lh1_0","sehr#{layout.BREAK} wichtig "
"page3.body.matrix.rd.lh5_0","unwichtig"
"page3.body.matrix.rd.rh1_0","in #{layout.BREAK}hohem#{layout.BREAK} Maße "
"page3.body.matrix.rd.rh5_0","in #{layout.BREAK}geringem#{layout.BREAK} Maße "
"page3.body.matrix.rd.lm1_0","weiß#{layout.BREAK} nicht "
"page3.body.matrix.rd.rm1_0","weiß #{layout.BREAK}nicht "
"page3.body.matrix.rd.i1.q_0","Spezielles Fachwissen "
"page3.body.matrix.rd.i3.q_0","Kenntnis wissenschaftlicher Methoden "
"page3.body.matrix.rd.i5.q_0","Kommunikationsfähigkeit "
"page3.body.matrix.rd.i6.q_0","Verhandlungsgeschick "
"page3.body.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Randomisierte Zuweisung von Fragen (Route 1)#{layout.BREAK} #{layout.SOURCECODE_END} "
"page4.body.matrix.q_0","Wie wichtig sind die folgenden Kenntnisse und Fähigkeiten für Ihre derzeitige (bzw., wenn Sie nicht berufstätg sind, voraussichtliche) berufliche Tätigkeit (linke Spalte)? In welchem Maße verfügten Sie bei Ihrem Abschluss des Studiums über diese Kenntnisse und Fähigkeiten (rechte Spalte)? #{layout.BREAK}#{layout.BREAK}#{layout.BREAK} "
"page4.body.matrix.rd.ls_0","Wichtigkeit für die berufliche Tätigkeit "
"page4.body.matrix.rd.rs_0","bei Studenabschluss vorhanden "
"page4.body.matrix.rd.lh1_0","sehr#{layout.BREAK} wichtig "
"page4.body.matrix.rd.lh5_0","unwichtig"
"page4.body.matrix.rd.rh1_0","in #{layout.BREAK}hohem#{layout.BREAK} Maße "
"page4.body.matrix.rd.rh5_0","in #{layout.BREAK}geringem#{layout.BREAK} Maße "
"page4.body.matrix.rd.lm1_0","weiß#{layout.BREAK} nicht "
"page4.body.matrix.rd.rm1_0","weiß #{layout.BREAK}nicht "
"page4.body.matrix.rd.i2.q_0","Breites Grundlagenwissen "
"page4.body.matrix.rd.i4.q_0","Fremdsprachen"
"page4.body.matrix.rd.i7.q_0","Organisationsfähigkeit "
"page4.body.matrix.rd.i8.q_0","Kenntnisse in EDV "
"page4.body.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Randomisierte Zuweisung von Fragen (Route 2)#{layout.BREAK} #{layout.SOURCECODE_END} "
"zwisch1.body.dis.text_0"," Dies ist eine Zwischenseite. "
"page5.b.sc.q_0","Wie beurteilen Sie Ihre gegenwärtige Studiensituation? "
"page5.b.sc.rd.ao1.label","sehr#{layout.BREAK} schlecht"
"page5.b.sc.rd.ao5.label","sehr #{layout.BREAK}gut"
"page5.b.sc.rd.ao6.label","kann ich #{layout.BREAK}nicht beurteilen"
"page5.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Unterschiedliche Fragereihenfolge (Frage 1) #{layout.BREAK} #{layout.SOURCECODE_END} "
"page6.b.sc2.q2_0","Und wie beurteilen Sie Ihre gegenwärtige wirtschaftliche Lage? "
"page6.b.sc2.rd2.ao1.label","sehr #{layout.BREAK}schlecht"
"page6.b.sc2.rd2.ao5.label","sehr #{layout.BREAK}gut"
"page6.b.sc2.rd2.ao6.label","kann ich #{layout.BREAK}nicht beurteilen"
"page6.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Unterschiedliche Fragereihenfolge (Frage 2) #{layout.BREAK} #{layout.SOURCECODE_END} "
"page7.body.openMatrix.question_0","Wie viele Stunden pro Tag haben Sie während der letzten Vorlesungszeit durchschnittlich für folgende Aktivitäten aufgewandt? "
"page7.body.openMatrix.instruction_0","Bitte runden Sie die Angaben für jeden Wochentag auf volle Stunden. "
"page7.body.openMatrix.response.title1_0","MO"
"page7.body.openMatrix.response.title2_0","DI"
"page7.body.openMatrix.response.title3_0","MI"
"page7.body.openMatrix.response.title4_0","DO"
"page7.body.openMatrix.response.title5_0","FR"
"page7.body.openMatrix.response.title6_0","SA"
"page7.body.openMatrix.response.title7_0","SO"
"page7.body.openMatrix.response.u1.tt1_0","Lehrveranstaltungen"
"page7.body.openMatrix.response.u1.item1.question1text_0"," Vorlesungen, Seminare, Praktika usw. "
"page7.body.openMatrix.response.u2.t1_0","Sonstiger studienbezogener Aufwand "
"page7.body.openMatrix.response.u2.item2.question1text_0"," Vor- und Nachbereitung, Fachlektüre, Studien-, Haus- und Abschlussarbeiten, Bücher ausleihen, Sprechstunden usw. "
"page7.body.openMatrix.response.u3.t1_0","Tätigkeiten gegen Bezahlung "
"page7.body.openMatrix.response.u3.item3.question1text_0"," Job, freiberufliche oder selbständige Tätigkeit "
"page7.body.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Präsentation von gegebenen Antworten mit Änderungsoption#{layout.BREAK} #{layout.SOURCECODE_END} "
"page8.body.sec.bb.display1.table1.zeile_header.l1_0","MO"
"page8.body.sec.bb.display1.table1.zeile_header.l2_0","DI "
"page8.body.sec.bb.display1.table1.zeile_header.l3_0","MI"
"page8.body.sec.bb.display1.table1.zeile_header.l4_0","DO "
"page8.body.sec.bb.display1.table1.zeile_header.l5_0","FR"
"page8.body.sec.bb.display1.table1.zeile_header.l6_0","SA"
"page8.body.sec.bb.display1.table1.zeile_header.l7_0","SO"
"page8.body.sec.bb.display1.table1.body1.row1.item0.text1_0","Lehrveranstaltungen #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item0.text3_0","Sonstiger Aufwand #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item0.text5_0","Bezahlte Tätigkeiten "
"page8.body.sec.bb.display1.table1.body1.row1.item1.text1_0","#{v33} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item1.text2_0","#{v40} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item1.text3_0","#{v47}"
"page8.body.sec.bb.display1.table1.body1.row1.item2.text1_0","#{v34} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item2.text2_0","#{v41} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item2.text3_0","#{v48}"
"page8.body.sec.bb.display1.table1.body1.row1.item3.text1_0","#{v35} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item3.text2_0","#{v42} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item3.text3_0","#{v49}"
"page8.body.sec.bb.display1.table1.body1.row1.item4.text1_0","#{v36} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item4.text2_0","#{v43} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item4.text3_0","#{v50}"
"page8.body.sec.bb.display1.table1.body1.row1.item5.text1_0","#{v37} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item5.text2_0","#{v44} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item5.text3_0","#{v51}"
"page8.body.sec.bb.display1.table1.body1.row1.item6.text1_0","#{v38} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item6.text2_0","#{v45} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item6.text3_0","#{v52}"
"page8.body.sec.bb.display1.table1.body1.row1.item7.text1_0","#{v39} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item7.text2_0","#{v46} #{layout.BREAK}"
"page8.body.sec.bb.display1.table1.body1.row1.item7.text3_0","#{v53}"
"page8.body.openMatrix.question_0","Wie viele Stunden pro Tag haben Sie während der letzten vorlesungsfreien Zeit durchschnittlich für folgende Aktivitäten aufgewandt? "
"page8.body.openMatrix.instruction_0","Bitte runden Sie die Angaben für jeden Wochentag auf volle Stunden. "
"page8.body.openMatrix.response.sct_0","Bitte beziehen Sie nur die letzte typische Semesterwoche ein "
"page8.body.openMatrix.response.title1_0","MO"
"page8.body.openMatrix.response.title2_0","DI"
"page8.body.openMatrix.response.title3_0","MI"
"page8.body.openMatrix.response.title4_0","DO"
"page8.body.openMatrix.response.title5_0","FR"
"page8.body.openMatrix.response.title6_0","SA"
"page8.body.openMatrix.response.title7_0","SO"
"page8.body.openMatrix.response.u1.tt1_0","Lehrveranstaltungen"
"page8.body.openMatrix.response.u1.item1.question1text_0"," Vorlesungen, Seminare, Praktika usw. "
"page8.body.openMatrix.response.u2.t1_0","Sonstiger studienbezogener Aufwand "
"page8.body.openMatrix.response.u2.item2.question1text_0"," Vor- und Nachbereitung, Fachlektüre, Studien-, Haus- und Abschlussarbeiten, Bücher ausleihen, Sprechstunden usw. "
"page8.body.openMatrix.response.u3.t1_0","Tätigkeiten gegen Bezahlung "
"page8.body.openMatrix.response.u3.item3.question1text_0"," Job, freiberufliche oder selbständige Tätigkeit "
"page8.body.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Präsentation von gegebenen Antworten mit Änderungsoption#{layout.BREAK} #{layout.SOURCECODE_END} "
"page9.body.qop1.que1_0","Mit wie vielen Kindern leben Sie derzeit in einem gemeinsamen Haushalt? "
"page9.body.qop1.inst1_0"," Damit sind sowohl eigene Kinder als auch Pflege- und Adoptivkinder gemeint. "
"page9.body.qop1","Bitte geben Sie eine Zahl zwischen 0 und 5 ein."
"page9.body.qop1.pre1_0","Ich habe "
"page9.body.qop1.post1_0"," Kind(er)."
"page9.body.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Frageschleife (Filterfrage: Kinder = ja/nein)#{layout.BREAK} #{layout.SOURCECODE_END} "
"page10.body.mcq1.intro_0"," #{layout.WARNING_START}In dieser Frage werden gemäß Bundesdatenschutzgesetz besonders schützenswerte Daten erhoben. Wir weisen Sie darauf hin, dass auch diese Angaben rein freiwillig sind. Wenn Sie die Frage nicht beantworten wollen, setzen Sie bitte das nachfolgende Häkchen und drücken Sie auf Weiter.#{layout.WARNING_END} "
"page10.body.mcq1.rd2.aoc.label","#{layout.WARNING_START}Ich möchte diese Frage nicht beantworten.#{layout.WARNING_END}"
"page10.body.mC1.que1_0"," Aus welchem Grund haben Sie keine Kinder? "
"page10.body.mC1.inst1_0"," Bitte markieren Sie alle auf Sie zutreffenden Antwortoptionen. "
"page10.body.mC1.rd1.ao1.label","Ich möchte keine Kinder haben"
"page10.body.mC1.rd1.ao2.label","Ich habe/hatte den Wunsch, konnte ihn jedoch (bisher) nicht realisieren"
"page10.body.mC1.rd1.ao3.label","Ich bin mir noch unsicher, ob ich Kinder haben möchte"
"page10.body.mC1.rd1.ao4.label","Es war/ist mir nicht möglich, Kinder zu haben (z. B. aus medizinischen Gründen)"
"page10.body.mC1.rd1.ao5.label","Sonstiges: "
"page10.body.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Frageschleife (Filterantwort: Kinder = nein)#{layout.BREAK} #{layout.SOURCECODE_END} "
"page11.b.msc.q1_0"," Wann wurde Ihr Kind geboren? "
"page11.b.msc.q2_0"," Wann wurde Ihr erstes (ältestes) Kind geboren? "
"page11.b.msc.rd.i1.qq1_0","Geburtsmonat: "
"page11.b.msc.rd.i1.rd1.ao0.label","Bitte wählen"
"page11.b.msc.rd.i1.rd1.ao1.label","Januar"
"page11.b.msc.rd.i1.rd1.ao2.label","Februar"
"page11.b.msc.rd.i1.rd1.ao3.label","März"
"page11.b.msc.rd.i1.rd1.ao4.label","April"
"page11.b.msc.rd.i1.rd1.ao5.label","Mai"
"page11.b.msc.rd.i1.rd1.ao6.label","Juni"
"page11.b.msc.rd.i1.rd1.ao7.label","Juli"
"page11.b.msc.rd.i1.rd1.ao8.label","August"
"page11.b.msc.rd.i1.rd1.ao9.label","September"
"page11.b.msc.rd.i1.rd1.ao10.label","Oktober"
"page11.b.msc.rd.i1.rd1.ao11.label","November"
"page11.b.msc.rd.i1.rd1.ao12.label","Dezember"
"page11.b.msc.rd.i2.q1_0","Geburtsjahr: "
"page11.b.msc.rd.i2.rd2.ao0.label","Bitte wählen"
"page11.b.msc.rd.i2.rd2.ao1.label","2016"
"page11.b.msc.rd.i2.rd2.ao2.label","2015"
"page11.b.msc.rd.i2.rd2.ao3.label","2014"
"page11.b.msc.rd.i2.rd2.ao4.label","2013"
"page11.b.msc.rd.i2.rd2.ao5.label","2012"
"page11.b.msc.rd.i2.rd2.ao6.label","2011"
"page11.b.msc.rd.i2.rd2.ao7.label","2010"
"page11.b.msc.rd.i2.rd2.ao8.label","2009"
"page11.b.msc.rd.i2.rd2.ao10.label","2008"
"page11.b.msc.rd.i2.rd2.ao11.label","2007"
"page11.b.msc.rd.i2.rd2.ao12.label","2006"
"page11.b.msc.rd.i2.rd2.ao13.label","2005"
"page11.b.msc.rd.i2.rd2.ao14.label","2004"
"page11.b.msc.rd.i2.rd2.ao15.label","2003"
"page11.b.msc.rd.i2.rd2.ao16.label","2002"
"page11.b.msc.rd.i2.rd2.ao17.label","2001"
"page11.b.msc.rd.i2.rd2.ao18.label","2000 und früher"
"page11.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Frageschleife (Filterantwort: Kinder = ja -> 1) #{layout.BREAK} #{layout.SOURCECODE_END} "
"page12.b.msc.q1_0"," Wann wurde Ihr zweites Kind geboren? "
"page12.b.msc.rd.i1.qq1_0","Geburtsmonat: "
"page12.b.msc.rd.i1.rd1.ao0.label","Bitte wählen"
"page12.b.msc.rd.i1.rd1.ao1.label","Januar"
"page12.b.msc.rd.i1.rd1.ao2.label","Februar"
"page12.b.msc.rd.i1.rd1.ao3.label","März"
"page12.b.msc.rd.i1.rd1.ao4.label","April"
"page12.b.msc.rd.i1.rd1.ao5.label","Mai"
"page12.b.msc.rd.i1.rd1.ao6.label","Juni"
"page12.b.msc.rd.i1.rd1.ao7.label","Juli"
"page12.b.msc.rd.i1.rd1.ao8.label","August"
"page12.b.msc.rd.i1.rd1.ao9.label","September"
"page12.b.msc.rd.i1.rd1.ao10.label","Oktober"
"page12.b.msc.rd.i1.rd1.ao11.label","November"
"page12.b.msc.rd.i1.rd1.ao12.label","Dezember"
"page12.b.msc.rd.i2.q1_0","Geburtsjahr: "
"page12.b.msc.rd.i2.rd2.ao0.label","Bitte wählen"
"page12.b.msc.rd.i2.rd2.ao1.label","2016"
"page12.b.msc.rd.i2.rd2.ao2.label","2015"
"page12.b.msc.rd.i2.rd2.ao3.label","2014"
"page12.b.msc.rd.i2.rd2.ao4.label","2013"
"page12.b.msc.rd.i2.rd2.ao5.label","2012"
"page12.b.msc.rd.i2.rd2.ao6.label","2011"
"page12.b.msc.rd.i2.rd2.ao7.label","2010"
"page12.b.msc.rd.i2.rd2.ao8.label","2009"
"page12.b.msc.rd.i2.rd2.ao10.label","2008"
"page12.b.msc.rd.i2.rd2.ao11.label","2007"
"page12.b.msc.rd.i2.rd2.ao12.label","2006"
"page12.b.msc.rd.i2.rd2.ao13.label","2005"
"page12.b.msc.rd.i2.rd2.ao14.label","2004"
"page12.b.msc.rd.i2.rd2.ao15.label","2003"
"page12.b.msc.rd.i2.rd2.ao16.label","2002"
"page12.b.msc.rd.i2.rd2.ao17.label","2001"
"page12.b.msc.rd.i2.rd2.ao18.label","2000 und früher"
"page12.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Frageschleife (Filterantwort: Kinder = ja -> 2) #{layout.BREAK} #{layout.SOURCECODE_END} "
"page13.b.msc.q1_0"," Wann wurde Ihr drittes Kind geboren? "
"page13.b.msc.rd.i1.qq1_0","Geburtsmonat: "
"page13.b.msc.rd.i1.rd1.ao0.label","Bitte wählen"
"page13.b.msc.rd.i1.rd1.ao1.label","Januar"
"page13.b.msc.rd.i1.rd1.ao2.label","Februar"
"page13.b.msc.rd.i1.rd1.ao3.label","März"
"page13.b.msc.rd.i1.rd1.ao4.label","April"
"page13.b.msc.rd.i1.rd1.ao5.label","Mai"
"page13.b.msc.rd.i1.rd1.ao6.label","Juni"
"page13.b.msc.rd.i1.rd1.ao7.label","Juli"
"page13.b.msc.rd.i1.rd1.ao8.label","August"
"page13.b.msc.rd.i1.rd1.ao9.label","September"
"page13.b.msc.rd.i1.rd1.ao10.label","Oktober"
"page13.b.msc.rd.i1.rd1.ao11.label","November"
"page13.b.msc.rd.i1.rd1.ao12.label","Dezember"
"page13.b.msc.rd.i2.q1_0","Geburtsjahr: "
"page13.b.msc.rd.i2.rd2.ao0.label","Bitte wählen"
"page13.b.msc.rd.i2.rd2.ao1.label","2016"
"page13.b.msc.rd.i2.rd2.ao2.label","2015"
"page13.b.msc.rd.i2.rd2.ao3.label","2014"
"page13.b.msc.rd.i2.rd2.ao4.label","2013"
"page13.b.msc.rd.i2.rd2.ao5.label","2012"
"page13.b.msc.rd.i2.rd2.ao6.label","2011"
"page13.b.msc.rd.i2.rd2.ao7.label","2010"
"page13.b.msc.rd.i2.rd2.ao8.label","2009"
"page13.b.msc.rd.i2.rd2.ao10.label","2008"
"page13.b.msc.rd.i2.rd2.ao11.label","2007"
"page13.b.msc.rd.i2.rd2.ao12.label","2006"
"page13.b.msc.rd.i2.rd2.ao13.label","2005"
"page13.b.msc.rd.i2.rd2.ao14.label","2004"
"page13.b.msc.rd.i2.rd2.ao15.label","2003"
"page13.b.msc.rd.i2.rd2.ao16.label","2002"
"page13.b.msc.rd.i2.rd2.ao17.label","2001"
"page13.b.msc.rd.i2.rd2.ao18.label","2000 und früher"
"page13.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Frageschleife (Filterantwort: Kinder = ja -> 3) #{layout.BREAK} #{layout.SOURCECODE_END} "
"page14.b.msc.q1_0"," Wann wurde Ihr viertes Kind geboren? "
"page14.b.msc.rd.i1.qq1_0","Geburtsmonat: "
"page14.b.msc.rd.i1.rd1.ao0.label","Bitte wählen"
"page14.b.msc.rd.i1.rd1.ao1.label","Januar"
"page14.b.msc.rd.i1.rd1.ao2.label","Februar"
"page14.b.msc.rd.i1.rd1.ao3.label","März"
"page14.b.msc.rd.i1.rd1.ao4.label","April"
"page14.b.msc.rd.i1.rd1.ao5.label","Mai"
"page14.b.msc.rd.i1.rd1.ao6.label","Juni"
"page14.b.msc.rd.i1.rd1.ao7.label","Juli"
"page14.b.msc.rd.i1.rd1.ao8.label","August"
"page14.b.msc.rd.i1.rd1.ao9.label","September"
"page14.b.msc.rd.i1.rd1.ao10.label","Oktober"
"page14.b.msc.rd.i1.rd1.ao11.label","November"
"page14.b.msc.rd.i1.rd1.ao12.label","Dezember"
"page14.b.msc.rd.i2.q1_0","Geburtsjahr: "
"page14.b.msc.rd.i2.rd2.ao0.label","Bitte wählen"
"page14.b.msc.rd.i2.rd2.ao1.label","2016"
"page14.b.msc.rd.i2.rd2.ao2.label","2015"
"page14.b.msc.rd.i2.rd2.ao3.label","2014"
"page14.b.msc.rd.i2.rd2.ao4.label","2013"
"page14.b.msc.rd.i2.rd2.ao5.label","2012"
"page14.b.msc.rd.i2.rd2.ao6.label","2011"
"page14.b.msc.rd.i2.rd2.ao7.label","2010"
"page14.b.msc.rd.i2.rd2.ao8.label","2009"
"page14.b.msc.rd.i2.rd2.ao10.label","2008"
"page14.b.msc.rd.i2.rd2.ao11.label","2007"
"page14.b.msc.rd.i2.rd2.ao12.label","2006"
"page14.b.msc.rd.i2.rd2.ao13.label","2005"
"page14.b.msc.rd.i2.rd2.ao14.label","2004"
"page14.b.msc.rd.i2.rd2.ao15.label","2003"
"page14.b.msc.rd.i2.rd2.ao16.label","2002"
"page14.b.msc.rd.i2.rd2.ao17.label","2001"
"page14.b.msc.rd.i2.rd2.ao18.label","2000 und früher"
"page14.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Frageschleife (Filterantwort: Kinder = ja -> 4) #{layout.BREAK} #{layout.SOURCECODE_END} "
"page15.b.msc.q1_0"," Wann wurde Ihr fünftes Kind geboren? "
"page15.b.msc.rd.i1.qq1_0","Geburtsmonat: "
"page15.b.msc.rd.i1.rd1.ao0.label","Bitte wählen"
"page15.b.msc.rd.i1.rd1.ao1.label","Januar"
"page15.b.msc.rd.i1.rd1.ao2.label","Februar"
"page15.b.msc.rd.i1.rd1.ao3.label","März"
"page15.b.msc.rd.i1.rd1.ao4.label","April"
"page15.b.msc.rd.i1.rd1.ao5.label","Mai"
"page15.b.msc.rd.i1.rd1.ao6.label","Juni"
"page15.b.msc.rd.i1.rd1.ao7.label","Juli"
"page15.b.msc.rd.i1.rd1.ao8.label","August"
"page15.b.msc.rd.i1.rd1.ao9.label","September"
"page15.b.msc.rd.i1.rd1.ao10.label","Oktober"
"page15.b.msc.rd.i1.rd1.ao11.label","November"
"page15.b.msc.rd.i1.rd1.ao12.label","Dezember"
"page15.b.msc.rd.i2.q1_0","Geburtsjahr: "
"page15.b.msc.rd.i2.rd2.ao0.label","Bitte wählen"
"page15.b.msc.rd.i2.rd2.ao1.label","2016"
"page15.b.msc.rd.i2.rd2.ao2.label","2015"
"page15.b.msc.rd.i2.rd2.ao3.label","2014"
"page15.b.msc.rd.i2.rd2.ao4.label","2013"
"page15.b.msc.rd.i2.rd2.ao5.label","2012"
"page15.b.msc.rd.i2.rd2.ao6.label","2011"
"page15.b.msc.rd.i2.rd2.ao7.label","2010"
"page15.b.msc.rd.i2.rd2.ao8.label","2009"
"page15.b.msc.rd.i2.rd2.ao10.label","2008"
"page15.b.msc.rd.i2.rd2.ao11.label","2007"
"page15.b.msc.rd.i2.rd2.ao12.label","2006"
"page15.b.msc.rd.i2.rd2.ao13.label","2005"
"page15.b.msc.rd.i2.rd2.ao14.label","2004"
"page15.b.msc.rd.i2.rd2.ao15.label","2003"
"page15.b.msc.rd.i2.rd2.ao16.label","2002"
"page15.b.msc.rd.i2.rd2.ao17.label","2001"
"page15.b.msc.rd.i2.rd2.ao18.label","2000 und früher"
"page15.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Frageschleife (Filterantwort: Kinder = ja -> 5) #{layout.BREAK} #{layout.SOURCECODE_END} "
"page16.body.qo.q1_0","Was müssen Sie für Ihre Wohnung/Ihr Zimmer monatlich bezahlen? "
"page16.body.qo.l1_0","Miete einschließlich Nebenkosten für Strom, Heizung etc. "
"page16.body.qo.l2_0"," € pro Monat"
"page16.body.sc.q1_0","Wie zufrieden sind Sie im Allgemeinen mit Ihrer derzeitigen Wohnsituation? "
"page16.body.sc.rd.a01.l1","sehr unzufrieden"
"page16.body.sc.rd.a05.l1","sehr zufrieden"
"page16.body.msc.q1_0","Wie zufrieden sind Sie mit folgenden Einzelaspekten ihrer Wohnsituation? "
"page16.body.msc.ins_0","(Bitte bewerten Sie jeden Aspekt.) "
"page16.body.msc.rd.t1_0","sehr #{layout.BREAK}unzufrieden "
"page16.body.msc.rd.t5_0","sehr #{layout.BREAK}zufrieden "
"page16.body.msc.rd.i1.q1_0","Größe des Wohnbereichs "
"page16.body.msc.rd.i2.q1_0","Entferung zur Hochschule "
"page16.body.msc.rd.i3.q1_0","Nachbarschaftsverhältnis "
"page16.body.msc.rd.i4.q1_0","Wohngegend"
"page16.body.msc.rd.i5.q1_0","Angemessenheit des Mietpreises "
"cancel.body.cancel.text1_0"," #{layout.BREAK}#{layout.BREAK} #{layout.BOLD_START} Sie haben eine für die Auswertung der Daten unerlässliche Frage nicht beantwortet. Die Befragung kann deshalb nicht fortgesetzt werden. }#{layout.BREAK}}#{layout.BREAK} Falls Sie sich anders entscheiden und doch noch fortfahren wollen, klicken Sie bitte auf den untenstehenden „Zurück“-Button. #{layout.BOLD_END} "
"cancel.body.qo1.que1_0"," Sollten Sie Anmerkungen zu unserer Befragung machen wollen, tragen Sie diese bitte hier ein: "
"end.body.end1.ende_0"," Ende der Demonstration "
